chem,gene,Column1,disease,gene_product,#_chem-gene_product_Pubmed_Abstracts,#_gene_product-disease_Pubmed_Abstracts,#_chem-disease_Pubmed_Abstracts,#_chem-gene_product-disease_Pubmed_Abstracts,Metal PDB ID
chromium(6+),GSR,,melanoma,glutathione-disulfide reductase,45,62,47,0,
cobalt,AHR,,Chest tightness,aryl hydrocarbon receptor,44,0,4,0,
cobalt,AHR,,Chronic fatigue,aryl hydrocarbon receptor,44,3,2,0,
cobalt,AHR,,Cognitive impairment,aryl hydrocarbon receptor,44,14,22,0,
cobalt,AHR,,Dyspnea,aryl hydrocarbon receptor,44,0,62,0,
cobalt,AHR,,NLRP3 inflammasome complex,aryl hydrocarbon receptor,44,1,3,0,
cobalt,AHR,,Palpitations,aryl hydrocarbon receptor,44,0,0,0,
cobalt,AHR,,Tinnitus,aryl hydrocarbon receptor,44,0,12,0,
cobalt,AHR,,cardiomyopathy,aryl hydrocarbon receptor,44,23,177,0,
cobalt,AHR,,fibromyalgia,aryl hydrocarbon receptor,44,1,2,0,
cobalt,AHR,,heart failure,aryl hydrocarbon receptor,44,34,175,0,
cobalt,AHR,,hypothyroidism,aryl hydrocarbon receptor,44,6,57,0,
cobalt,AHR,,innate immune response,aryl hydrocarbon receptor,44,200,138,0,
cobalt,AHR,,melanoma,aryl hydrocarbon receptor,44,62,329,2,
cobalt,AHR,,prostate cancer,aryl hydrocarbon receptor,44,90,272,0,
chromium(3+),INSR,,melanoma,insulin receptor,43,233,47,0,
chromium,NOS3,,anaplastic large cell lymphoma,nitric oxide synthase 3,43,1,0,0,
chromium,NOS3,,melanoma,nitric oxide synthase 3,43,111,149,0,
nickel,NOS3,,NLRP3 inflammasome complex,nitric oxide synthase 3,39,10,2,0,
nickel,NOS3,,allergic contact dermatitis,nitric oxide synthase 3,39,8,1920,1,
nickel,NOS3,,anaplastic large cell lymphoma,nitric oxide synthase 3,39,1,0,0,
nickel,NOS3,,innate immune response,nitric oxide synthase 3,39,531,145,0,
nickel,NOS3,,prostate cancer,nitric oxide synthase 3,39,88,141,0,
nickel,NOS3,,squamous cell carcinoma,nitric oxide synthase 3,39,76,83,0,
nickel,ICAM1,,NLRP3 inflammasome complex,intercellular adhesion molecule 1,38,4,2,0,
nickel,ICAM1,,allergic contact dermatitis,intercellular adhesion molecule 1,38,67,1920,16,
nickel,ICAM1,,innate immune response,intercellular adhesion molecule 1,38,396,145,1,
nickel,ICAM1,,metal allergy,intercellular adhesion molecule 1,38,23,2517,13,
nickel,ICAM1,,prostate cancer,intercellular adhesion molecule 1,38,83,141,0,
nickel,ICAM1,,squamous cell carcinoma,intercellular adhesion molecule 1,38,115,83,0,
cobalt(2+),CBLIF,,Chest tightness,cobalamin binding intrinsic factor,37,0,1,0,2PMV
cobalt(2+),CBLIF,,Chronic fatigue,cobalamin binding intrinsic factor,37,0,2,0,2PMV
cobalt(2+),CBLIF,,Cognitive impairment,cobalamin binding intrinsic factor,37,0,9,0,2PMV
cobalt(2+),CBLIF,,Dyspnea,cobalamin binding intrinsic factor,37,0,20,0,2PMV
cobalt(2+),CBLIF,,NLRP3 inflammasome complex,cobalamin binding intrinsic factor,37,0,1,0,2PMV
cobalt(2+),CBLIF,,Palpitations,cobalamin binding intrinsic factor,37,0,0,0,2PMV
cobalt(2+),CBLIF,,Tinnitus,cobalamin binding intrinsic factor,37,0,5,0,2PMV
cobalt(2+),CBLIF,,hypothyroidism,cobalamin binding intrinsic factor,37,0,23,0,2PMV
cobalt(2+),CBLIF,,innate immune response,cobalamin binding intrinsic factor,37,0,46,0,2PMV
cobalt(2+),CBLIF,,melanoma,cobalamin binding intrinsic factor,37,1,119,0,2PMV
cobalt(2+),CBLIF,,prostate cancer,cobalamin binding intrinsic factor,37,0,116,0,2PMV
nickel,PRNP,,Localized skin lesion,prion protein,37,0,2,0,
nickel,PRNP,,NLRP3 inflammasome complex,prion protein,37,5,2,0,
nickel,PRNP,,allergic contact dermatitis,prion protein,37,0,1920,0,
nickel,PRNP,,innate immune response,prion protein,37,236,145,1,
nickel,PRNP,,prostate cancer,prion protein,37,6,141,0,
nickel,PRNP,,squamous cell carcinoma,prion protein,37,7,83,0,
nickel,G6PD,,NLRP3 inflammasome complex,glucose-6-phosphate dehydrogenase,35,0,2,0,
nickel,G6PD,,allergic contact dermatitis,glucose-6-phosphate dehydrogenase,35,3,1920,0,
nickel,G6PD,,anaplastic large cell lymphoma,glucose-6-phosphate dehydrogenase,35,0,0,0,
nickel,G6PD,,innate immune response,glucose-6-phosphate dehydrogenase,35,191,145,1,
nickel,G6PD,,prostate cancer,glucose-6-phosphate dehydrogenase,35,26,141,0,
nickel,G6PD,,squamous cell carcinoma,glucose-6-phosphate dehydrogenase,35,67,83,0,
cobalt(2+),MMUT,,Chest tightness,methylmalonyl-CoA mutase,35,0,1,0,
cobalt(2+),MMUT,,Cognitive impairment,methylmalonyl-CoA mutase,35,6,9,0,
cobalt(2+),MMUT,,Dyspnea,methylmalonyl-CoA mutase,35,1,20,0,
cobalt(2+),MMUT,,NLRP3 inflammasome complex,methylmalonyl-CoA mutase,35,0,1,0,
cobalt(2+),MMUT,,Palpitations,methylmalonyl-CoA mutase,35,0,0,0,
cobalt(2+),MMUT,,Tinnitus,methylmalonyl-CoA mutase,35,0,5,0,
cobalt(2+),MMUT,,cardiomyopathy,methylmalonyl-CoA mutase,35,2,49,0,
cobalt(2+),MMUT,,fibromyalgia,methylmalonyl-CoA mutase,35,0,1,0,
cobalt(2+),MMUT,,heart failure,methylmalonyl-CoA mutase,35,2,83,0,
cobalt(2+),MMUT,,hypothyroidism,methylmalonyl-CoA mutase,35,1,23,0,
cobalt(2+),MMUT,,innate immune response,methylmalonyl-CoA mutase,35,1,46,0,
cobalt(2+),MMUT,,melanoma,methylmalonyl-CoA mutase,35,0,119,0,
nickel,CASP9,,NLRP3 inflammasome complex,caspase 9,33,0,2,0,
nickel,CASP9,,allergic contact dermatitis,caspase 9,33,1,1920,0,
nickel,CASP9,,anaplastic large cell lymphoma,caspase 9,33,3,0,0,
nickel,CASP9,,innate immune response,caspase 9,33,124,145,0,
nickel,CASP9,,periprosthetic osteolysis,caspase 9,33,0,5,0,
nickel,CASP9,,prostate cancer,caspase 9,33,446,141,1,
nickel,CASP9,,squamous cell carcinoma,caspase 9,33,296,83,0,
nickel,FLG,,NLRP3 inflammasome complex,filaggrin,33,0,2,0,
nickel,FLG,,allergic contact dermatitis,filaggrin,33,52,1920,17,
nickel,FLG,,innate immune response,filaggrin,33,65,145,0,
nickel,FLG,,metal allergy,filaggrin,33,31,2517,17,
nickel,FLG,,periprosthetic osteolysis,filaggrin,33,0,5,0,
nickel,FLG,,prostate cancer,filaggrin,33,1,141,0,
nickel,FLG,,squamous cell carcinoma,filaggrin,33,50,83,0,
chromium(6+),HMOX1,,anaplastic large cell lymphoma,heme oxygenase 1,33,0,0,0,
chromium(6+),HMOX1,,melanoma,heme oxygenase 1,33,59,47,0,
nickel,MMP2,,Localized skin lesion,matrix metallopeptidase 2,31,1,2,0,
nickel,MMP2,,NLRP3 inflammasome complex,matrix metallopeptidase 2,31,0,2,0,
nickel,MMP2,,allergic contact dermatitis,matrix metallopeptidase 2,31,13,1920,2,
nickel,MMP2,,anaplastic large cell lymphoma,matrix metallopeptidase 2,31,7,0,0,
nickel,MMP2,,innate immune response,matrix metallopeptidase 2,31,254,145,0,
nickel,MMP2,,prostate cancer,matrix metallopeptidase 2,31,632,141,0,
nickel,MMP2,,squamous cell carcinoma,matrix metallopeptidase 2,31,979,83,0,
cobalt,METAP2,,Chronic fatigue,methionyl aminopeptidase 2,30,0,2,0,5CLS 
cobalt,METAP2,,Cognitive impairment,methionyl aminopeptidase 2,30,0,22,0,5CLS
cobalt,METAP2,,Dyspnea,methionyl aminopeptidase 2,30,0,62,0,5CLS
cobalt,METAP2,,NLRP3 inflammasome complex,methionyl aminopeptidase 2,30,0,3,0,5CLS
cobalt,METAP2,,cardiomyopathy,methionyl aminopeptidase 2,30,0,177,0,5CLS
cobalt,METAP2,,heart failure,methionyl aminopeptidase 2,30,0,175,0,5CLS
cobalt,METAP2,,hypothyroidism,methionyl aminopeptidase 2,30,0,57,0,5CLS
cobalt,METAP2,,innate immune response,methionyl aminopeptidase 2,30,1,138,0,5CLS
cobalt,METAP2,,melanoma,methionyl aminopeptidase 2,30,2,329,0,5CLS
cobalt,METAP2,,periprosthetic osteolysis,methionyl aminopeptidase 2,30,0,65,0,5CLS
cobalt(2+),METAP2,,Chronic fatigue,methionyl aminopeptidase 2,30,0,2,0,5CLS
cobalt(2+),METAP2,,Cognitive impairment,methionyl aminopeptidase 2,30,0,9,0,5CLS
cobalt(2+),METAP2,,Dyspnea,methionyl aminopeptidase 2,30,0,20,0,5CLS
cobalt(2+),METAP2,,NLRP3 inflammasome complex,methionyl aminopeptidase 2,30,0,1,0,5CLS
cobalt(2+),METAP2,,cardiomyopathy,methionyl aminopeptidase 2,30,0,49,0,5CLS
cobalt(2+),METAP2,,heart failure,methionyl aminopeptidase 2,30,0,83,0,5CLS
cobalt(2+),METAP2,,hypothyroidism,methionyl aminopeptidase 2,30,0,23,0,5CLS
cobalt(2+),METAP2,,innate immune response,methionyl aminopeptidase 2,30,1,46,0,5CLS
cobalt(2+),METAP2,,melanoma,methionyl aminopeptidase 2,30,2,119,0,5CLS
cobalt(2+),METAP2,,periprosthetic osteolysis,methionyl aminopeptidase 2,30,0,29,0,5CLS
nickel,MTF1,,NLRP3 inflammasome complex,metal regulatory transcription factor 1,30,1,2,0,
nickel,MTF1,,allergic contact dermatitis,metal regulatory transcription factor 1,30,2,1920,2,
nickel,MTF1,,innate immune response,metal regulatory transcription factor 1,30,21,145,0,
nickel,MTF1,,prostate cancer,metal regulatory transcription factor 1,30,9,141,0,
nickel,MTF1,,squamous cell carcinoma,metal regulatory transcription factor 1,30,8,83,1,
chromium(3+),POR,,melanoma,cytochrome p450 oxidoreductase,30,107,47,0,
cobalt,APP,,Chest tightness,amyloid beta precursor protein,29,0,4,0,
cobalt,APP,,Chronic fatigue,amyloid beta precursor protein,29,4,2,0,
cobalt,APP,,Cognitive impairment,amyloid beta precursor protein,29,5451,22,0,
cobalt,APP,,Dyspnea,amyloid beta precursor protein,29,0,62,0,
cobalt,APP,,NLRP3 inflammasome complex,amyloid beta precursor protein,29,10,3,0,
cobalt,APP,,Neurotoxicity Syndromes,amyloid beta precursor protein,29,156,51,0,
cobalt,APP,,Palpitations,amyloid beta precursor protein,29,0,0,0,
cobalt,APP,,Tinnitus,amyloid beta precursor protein,29,1,12,0,
cobalt,APP,,cardiomyopathy,amyloid beta precursor protein,29,31,177,0,
cobalt,APP,,demyelinating polyneuropathy,amyloid beta precursor protein,29,4,0,0,
cobalt,APP,,fibromyalgia,amyloid beta precursor protein,29,1,2,0,
cobalt,APP,,heart failure,amyloid beta precursor protein,29,45,175,0,
cobalt,APP,,hypothyroidism,amyloid beta precursor protein,29,6,57,0,
cobalt,APP,,innate immune response,amyloid beta precursor protein,29,549,138,0,
cobalt,APP,,melanoma,amyloid beta precursor protein,29,26,329,0,
cobalt,APP,,periprosthetic osteolysis,amyloid beta precursor protein,29,0,65,0,
cobalt,APP,,prostate cancer,amyloid beta precursor protein,29,30,272,0,
chromium(6+),IL1B,,anaplastic large cell lymphoma,interleukin 1 beta,29,4,0,0,
chromium(6+),IL1B,,melanoma,interleukin 1 beta,29,314,47,0,
cobalt,IL2,,Chest tightness,interleukin 2,29,3,4,0,
cobalt,IL2,,Chronic fatigue,interleukin 2,29,58,2,0,
cobalt,IL2,,Cognitive impairment,interleukin 2,29,49,22,0,
cobalt,IL2,,Dyspnea,interleukin 2,29,96,62,0,
cobalt,IL2,,NLRP3 inflammasome complex,interleukin 2,29,0,3,0,
cobalt,IL2,,Palpitations,interleukin 2,29,4,0,0,
cobalt,IL2,,Tinnitus,interleukin 2,29,2,12,0,
cobalt,IL2,,cardiomyopathy,interleukin 2,29,161,177,0,
cobalt,IL2,,fibromyalgia,interleukin 2,29,17,2,0,
cobalt,IL2,,heart failure,interleukin 2,29,169,175,0,
cobalt,IL2,,hypothyroidism,interleukin 2,29,77,57,0,
cobalt,IL2,,innate immune response,interleukin 2,29,1386,138,0,
cobalt,IL2,,melanoma,interleukin 2,29,2882,329,0,
cobalt,IL2,,periprosthetic osteolysis,interleukin 2,29,5,65,1,
cobalt,IL2,,prostate cancer,interleukin 2,29,231,272,0,
cobalt(2+),TCN2,,Chest tightness,transcobalamin 2,28,0,1,0,5NSA
cobalt(2+),TCN2,,Chronic fatigue,transcobalamin 2,28,0,2,0,5NSA
cobalt(2+),TCN2,,Cognitive impairment,transcobalamin 2,28,10,9,0,5NSA
cobalt(2+),TCN2,,Dyspnea,transcobalamin 2,28,0,20,0,5NSA
cobalt(2+),TCN2,,NLRP3 inflammasome complex,transcobalamin 2,28,0,1,0,5NSA
cobalt(2+),TCN2,,Palpitations,transcobalamin 2,28,0,0,0,5NSA
cobalt(2+),TCN2,,Tinnitus,transcobalamin 2,28,0,5,0,5NSA
cobalt(2+),TCN2,,cardiomyopathy,transcobalamin 2,28,0,49,0,5NSA
cobalt(2+),TCN2,,fibromyalgia,transcobalamin 2,28,0,1,0,5NSA
cobalt(2+),TCN2,,heart failure,transcobalamin 2,28,2,83,0,5NSA
cobalt(2+),TCN2,,hypothyroidism,transcobalamin 2,28,2,23,0,5NSA
cobalt(2+),TCN2,,innate immune response,transcobalamin 2,28,15,46,0,5NSA
cobalt(2+),TCN2,,melanoma,transcobalamin 2,28,1,119,0,5NSA
cobalt(2+),TCN2,,prostate cancer,transcobalamin 2,28,1,116,0,5NSA
cobalt(2+),EGFR,,Chest tightness,epidermal growth factor receptor,27,5,1,0,
cobalt(2+),EGFR,,Chronic fatigue,epidermal growth factor receptor,27,3,2,0,
cobalt(2+),EGFR,,Cognitive impairment,epidermal growth factor receptor,27,54,9,0,
cobalt(2+),EGFR,,Dyspnea,epidermal growth factor receptor,27,158,20,0,
cobalt(2+),EGFR,,NLRP3 inflammasome complex,epidermal growth factor receptor,27,2,1,0,
cobalt(2+),EGFR,,Neurotoxicity Syndromes,epidermal growth factor receptor,27,11,20,0,
cobalt(2+),EGFR,,Palpitations,epidermal growth factor receptor,27,2,0,0,
cobalt(2+),EGFR,,Tinnitus,epidermal growth factor receptor,27,4,5,0,
cobalt(2+),EGFR,,cardiomyopathy,epidermal growth factor receptor,27,173,49,0,
cobalt(2+),EGFR,,demyelinating polyneuropathy,epidermal growth factor receptor,27,6,0,0,
cobalt(2+),EGFR,,fibromyalgia,epidermal growth factor receptor,27,1,1,0,
cobalt(2+),EGFR,,heart failure,epidermal growth factor receptor,27,511,83,0,
cobalt(2+),EGFR,,hypothyroidism,epidermal growth factor receptor,27,30,23,0,
cobalt(2+),EGFR,,innate immune response,epidermal growth factor receptor,27,369,46,0,
cobalt(2+),EGFR,,melanoma,epidermal growth factor receptor,27,882,119,0,
cobalt(2+),EGFR,,periprosthetic osteolysis,epidermal growth factor receptor,27,0,29,0,
cobalt(2+),EGFR,,prostate cancer,epidermal growth factor receptor,27,1723,116,3,
cobalt(2+),MAP3K5,,Chest tightness,mitogen-activated protein kinase kinase kinase 5,26,0,1,0,
cobalt(2+),MAP3K5,,Chronic fatigue,mitogen-activated protein kinase kinase kinase 5,26,6,2,0,
cobalt(2+),MAP3K5,,Cognitive impairment,mitogen-activated protein kinase kinase kinase 5,26,105,9,0,
cobalt(2+),MAP3K5,,Dyspnea,mitogen-activated protein kinase kinase kinase 5,26,5,20,0,
cobalt(2+),MAP3K5,,NLRP3 inflammasome complex,mitogen-activated protein kinase kinase kinase 5,26,3,1,0,
cobalt(2+),MAP3K5,,Palpitations,mitogen-activated protein kinase kinase kinase 5,26,1,0,0,
cobalt(2+),MAP3K5,,Tinnitus,mitogen-activated protein kinase kinase kinase 5,26,0,5,0,
cobalt(2+),MAP3K5,,cardiomyopathy,mitogen-activated protein kinase kinase kinase 5,26,395,49,0,
cobalt(2+),MAP3K5,,demyelinating polyneuropathy,mitogen-activated protein kinase kinase kinase 5,26,0,0,0,
cobalt(2+),MAP3K5,,fibromyalgia,mitogen-activated protein kinase kinase kinase 5,26,2,1,0,
cobalt(2+),MAP3K5,,heart failure,mitogen-activated protein kinase kinase kinase 5,26,299,83,0,
cobalt(2+),MAP3K5,,hypothyroidism,mitogen-activated protein kinase kinase kinase 5,26,11,23,0,
cobalt(2+),MAP3K5,,innate immune response,mitogen-activated protein kinase kinase kinase 5,26,495,46,0,
cobalt(2+),MAP3K5,,melanoma,mitogen-activated protein kinase kinase kinase 5,26,1367,119,0,
cobalt(2+),MAP3K5,,periprosthetic osteolysis,mitogen-activated protein kinase kinase kinase 5,26,5,29,0,
cobalt(2+),MAP3K5,,prostate cancer,mitogen-activated protein kinase kinase kinase 5,26,366,116,0,
cobalt(2+),TCN1,,Chronic fatigue,transcobalamin 1,26,0,2,0,4KKI
cobalt(2+),TCN1,,Dyspnea,transcobalamin 1,26,0,20,0,4KKI
cobalt(2+),TCN1,,NLRP3 inflammasome complex,transcobalamin 1,26,0,1,0,4KKI
cobalt(2+),TCN1,,hypothyroidism,transcobalamin 1,26,2,23,0,4KKI
cobalt(2+),TCN1,,innate immune response,transcobalamin 1,26,16,46,0,4KKI
molybdenum,CASP3,,anaplastic large cell lymphoma,caspase 3,23,35,0,0,
chromium(6+),JUN,,anaplastic large cell lymphoma,"Jun proto-oncogene, AP-1 transcription factor subunit",23,40,0,0,
chromium(6+),JUN,,melanoma,"Jun proto-oncogene, AP-1 transcription factor subunit",23,948,47,1,
nickel,MMP9,,NLRP3 inflammasome complex,matrix metallopeptidase 9,23,1,2,0,
nickel,MMP9,,allergic contact dermatitis,matrix metallopeptidase 9,23,12,1920,1,
nickel,MMP9,,innate immune response,matrix metallopeptidase 9,23,257,145,0,
nickel,MMP9,,periprosthetic osteolysis,matrix metallopeptidase 9,23,4,5,0,
nickel,MMP9,,prostate cancer,matrix metallopeptidase 9,23,575,141,0,
nickel,MMP9,,squamous cell carcinoma,matrix metallopeptidase 9,23,803,83,0,
cobalt,PARP1,,Chest tightness,poly(ADP-ribose) polymerase 1,23,0,4,0,
cobalt,PARP1,,Chronic fatigue,poly(ADP-ribose) polymerase 1,23,0,2,0,
cobalt,PARP1,,Cognitive impairment,poly(ADP-ribose) polymerase 1,23,41,22,0,
cobalt,PARP1,,Demyelinating polyneuropathy,poly(ADP-ribose) polymerase 1,23,0,0,0,
cobalt,PARP1,,Dyspnea,poly(ADP-ribose) polymerase 1,23,5,62,0,
cobalt,PARP1,,NLRP3 inflammasome complex,poly(ADP-ribose) polymerase 1,23,2,3,0,
cobalt,PARP1,,Neurotoxicity Syndromes,poly(ADP-ribose) polymerase 1,23,23,51,0,
cobalt,PARP1,,Palpitations,poly(ADP-ribose) polymerase 1,23,1,0,0,
cobalt,PARP1,,Tinnitus,poly(ADP-ribose) polymerase 1,23,1,12,0,
cobalt,PARP1,,cardiomyopathy,poly(ADP-ribose) polymerase 1,23,119,177,0,
cobalt,PARP1,,demyelinating polyneuropathy,poly(ADP-ribose) polymerase 1,23,0,0,0,
cobalt,PARP1,,fibromyalgia,poly(ADP-ribose) polymerase 1,23,0,2,0,
cobalt,PARP1,,heart failure,poly(ADP-ribose) polymerase 1,23,73,175,0,
cobalt,PARP1,,hypothyroidism,poly(ADP-ribose) polymerase 1,23,3,57,0,
cobalt,PARP1,,innate immune response,poly(ADP-ribose) polymerase 1,23,84,138,0,
cobalt,PARP1,,melanoma,poly(ADP-ribose) polymerase 1,23,203,329,1,
cobalt,PARP1,,periprosthetic osteolysis,poly(ADP-ribose) polymerase 1,23,2,65,0,
cobalt,PARP1,,prostate cancer,poly(ADP-ribose) polymerase 1,23,443,272,0,
chromium(6+),CASP3,,anaplastic large cell lymphoma,caspase 3,22,35,0,0,
chromium(6+),CASP3,,melanoma,caspase 3,22,1088,47,0,
nickel,MYC,,Localized skin lesion,"MYC proto-oncogene, bHLH transcription factor",21,0,2,0,
nickel,MYC,,NLRP3 inflammasome complex,"MYC proto-oncogene, bHLH transcription factor",21,0,2,0,
nickel,MYC,,allergic contact dermatitis,"MYC proto-oncogene, bHLH transcription factor",21,0,1920,0,
nickel,MYC,,anaplastic large cell lymphoma,"MYC proto-oncogene, bHLH transcription factor",21,24,0,0,
nickel,MYC,,innate immune response,"MYC proto-oncogene, bHLH transcription factor",21,92,145,0,
nickel,MYC,,prostate cancer,"MYC proto-oncogene, bHLH transcription factor",21,597,141,1,
nickel,MYC,,squamous cell carcinoma,"MYC proto-oncogene, bHLH transcription factor",21,407,83,1,
nickel,CASR,,NLRP3 inflammasome complex,calcium sensing receptor,20,1,2,0,
nickel,CASR,,allergic contact dermatitis,calcium sensing receptor,20,0,1920,0,
nickel,CASR,,innate immune response,calcium sensing receptor,20,36,145,0,
nickel,CASR,,prostate cancer,calcium sensing receptor,20,50,141,0,
cobalt,MAPK3,,Chest tightness,mitogen-activated protein kinase 3,20,0,4,0,
cobalt,MAPK3,,Chronic fatigue,mitogen-activated protein kinase 3,20,0,2,0,
cobalt,MAPK3,,Cognitive impairment,mitogen-activated protein kinase 3,20,45,22,0,
cobalt,MAPK3,,Demyelinating polyneuropathy,mitogen-activated protein kinase 3,20,0,0,0,
cobalt,MAPK3,,Dyspnea,mitogen-activated protein kinase 3,20,0,62,0,
cobalt,MAPK3,,NLRP3 inflammasome complex,mitogen-activated protein kinase 3,20,1,3,0,
cobalt,MAPK3,,Palpitations,mitogen-activated protein kinase 3,20,0,0,0,
cobalt,MAPK3,,Tinnitus,mitogen-activated protein kinase 3,20,0,12,0,
cobalt,MAPK3,,cardiomyopathy,mitogen-activated protein kinase 3,20,165,177,0,
cobalt,MAPK3,,demyelinating polyneuropathy,mitogen-activated protein kinase 3,20,0,0,0,
cobalt,MAPK3,,fibromyalgia,mitogen-activated protein kinase 3,20,0,2,0,
cobalt,MAPK3,,heart failure,mitogen-activated protein kinase 3,20,113,175,0,
cobalt,MAPK3,,hypothyroidism,mitogen-activated protein kinase 3,20,7,57,0,
cobalt,MAPK3,,innate immune response,mitogen-activated protein kinase 3,20,145,138,0,
cobalt,MAPK3,,melanoma,mitogen-activated protein kinase 3,20,186,329,0,
cobalt,MAPK3,,periprosthetic osteolysis,mitogen-activated protein kinase 3,20,1,65,0,
cobalt,MAPK3,,prostate cancer,mitogen-activated protein kinase 3,20,208,272,1,
cobalt(2+),METAP1,,Chronic fatigue,methionyl aminopeptidase 1,20,0,2,0,"2GZ5, 2B3H "
cobalt(2+),METAP1,,Dyspnea,methionyl aminopeptidase 1,20,0,20,0,"2GZ5, 2B3H "
cobalt(2+),METAP1,,NLRP3 inflammasome complex,methionyl aminopeptidase 1,20,0,1,0,"2GZ5, 2B3H "
cobalt(2+),METAP1,,cardiomyopathy,methionyl aminopeptidase 1,20,0,49,0,"2GZ5, 2B3H "
cobalt(2+),METAP1,,heart failure,methionyl aminopeptidase 1,20,0,83,0,"2GZ5, 2B3H "
cobalt(2+),METAP1,,hypothyroidism,methionyl aminopeptidase 1,20,0,23,0,"2GZ5, 2B3H "
cobalt(2+),METAP1,,innate immune response,methionyl aminopeptidase 1,20,0,46,0,"2GZ5, 2B3H "
cobalt(2+),METAP1,,melanoma,methionyl aminopeptidase 1,20,1,119,0,"2GZ5, 2B3H "
cobalt(2+),METAP1,,periprosthetic osteolysis,methionyl aminopeptidase 1,20,0,29,0,"2GZ5, 2B3H "
cobalt(2+),METAP1,,prostate cancer,methionyl aminopeptidase 1,20,2,116,0,"2GZ5, 2B3H "
chromium,POLB,,melanoma,DNA polymerase beta,20,182,149,0,1ZQE
chromium(6+),GPT,,anaplastic large cell lymphoma,glutamic--pyruvic transaminase,19,1,0,0,
chromium(6+),GPT,,melanoma,glutamic--pyruvic transaminase,19,56,47,0,
cobalt(2+),IGF1,,Chest tightness,insulin like growth factor 1,19,0,1,0,
cobalt(2+),IGF1,,Chronic fatigue,insulin like growth factor 1,19,35,2,0,
cobalt(2+),IGF1,,Cognitive impairment,insulin like growth factor 1,19,251,9,0,
cobalt(2+),IGF1,,Dyspnea,insulin like growth factor 1,19,15,20,0,
cobalt(2+),IGF1,,NLRP3 inflammasome complex,insulin like growth factor 1,19,1,1,0,
cobalt(2+),IGF1,,Palpitations,insulin like growth factor 1,19,0,0,0,
cobalt(2+),IGF1,,Tinnitus,insulin like growth factor 1,19,3,5,0,
cobalt(2+),IGF1,,cardiomyopathy,insulin like growth factor 1,19,278,49,0,
cobalt(2+),IGF1,,demyelinating polyneuropathy,insulin like growth factor 1,19,1,0,0,
cobalt(2+),IGF1,,fibromyalgia,insulin like growth factor 1,19,58,1,0,
cobalt(2+),IGF1,,heart failure,insulin like growth factor 1,19,481,83,0,
cobalt(2+),IGF1,,hypothyroidism,insulin like growth factor 1,19,259,23,0,
cobalt(2+),IGF1,,innate immune response,insulin like growth factor 1,19,159,46,0,
cobalt(2+),IGF1,,melanoma,insulin like growth factor 1,19,156,119,0,
cobalt(2+),IGF1,,periprosthetic osteolysis,insulin like growth factor 1,19,1,29,0,
cobalt(2+),IGF1,,prostate cancer,insulin like growth factor 1,19,909,116,0,
cobalt,MAPK1,,Chest tightness,mitogen-activated protein kinase 1,19,0,4,0,
cobalt,MAPK1,,Chronic fatigue,mitogen-activated protein kinase 1,19,0,2,0,
cobalt,MAPK1,,Cognitive impairment,mitogen-activated protein kinase 1,19,40,22,0,
cobalt,MAPK1,,Demyelinating polyneuropathy,mitogen-activated protein kinase 1,19,0,0,0,
cobalt,MAPK1,,Dyspnea,mitogen-activated protein kinase 1,19,0,62,0,
cobalt,MAPK1,,NLRP3 inflammasome complex,mitogen-activated protein kinase 1,19,1,3,0,
cobalt,MAPK1,,Palpitations,mitogen-activated protein kinase 1,19,0,0,0,
cobalt,MAPK1,,Tinnitus,mitogen-activated protein kinase 1,19,0,12,0,
cobalt,MAPK1,,cardiomyopathy,mitogen-activated protein kinase 1,19,151,177,0,
cobalt,MAPK1,,demyelinating polyneuropathy,mitogen-activated protein kinase 1,19,0,0,0,
cobalt,MAPK1,,fibromyalgia,mitogen-activated protein kinase 1,19,0,2,0,
cobalt,MAPK1,,heart failure,mitogen-activated protein kinase 1,19,100,175,0,
cobalt,MAPK1,,hypothyroidism,mitogen-activated protein kinase 1,19,5,57,0,
cobalt,MAPK1,,innate immune response,mitogen-activated protein kinase 1,19,138,138,0,
cobalt,MAPK1,,melanoma,mitogen-activated protein kinase 1,19,192,329,0,
cobalt,MAPK1,,periprosthetic osteolysis,mitogen-activated protein kinase 1,19,1,65,0,
cobalt,MAPK1,,prostate cancer,mitogen-activated protein kinase 1,19,204,272,1,
nickel,IL5,,NLRP3 inflammasome complex,interleukin 5,18,0,2,0,
nickel,IL5,,allergic contact dermatitis,interleukin 5,18,43,1920,10,
nickel,IL5,,innate immune response,interleukin 5,18,285,145,0,
nickel,IL5,,metal allergy,interleukin 5,18,39,2517,12,
nickel,IL5,,periprosthetic osteolysis,interleukin 5,18,0,5,0,
nickel,IL5,,prostate cancer,interleukin 5,18,7,141,0,
nickel,IL5,,squamous cell carcinoma,interleukin 5,18,15,83,0,
cobalt,SLC11A2,,Chronic fatigue,solute carrier family 11 member 2,18,0,2,0,
cobalt,SLC11A2,,Dyspnea,solute carrier family 11 member 2,18,0,62,0,
cobalt,SLC11A2,,NLRP3 inflammasome complex,solute carrier family 11 member 2,18,0,3,0,
cobalt,SLC11A2,,Tinnitus,solute carrier family 11 member 2,18,0,12,0,
cobalt,SLC11A2,,cardiomyopathy,solute carrier family 11 member 2,18,10,177,0,
cobalt,SLC11A2,,fibromyalgia,solute carrier family 11 member 2,18,0,2,0,
